postID,text,timestamp,likes,commentCount,community,district
BhY7jNCg4cj,Photo by @maxwbender on @unsplashcom,1523362463,11,1,LOOP,Central
BhY6WIdhdsp,"Coffee: (n.) a survival juice. .
.
.
#HeroCoffee #CoffeeShop #ChicagoCoffee #Latte #Espresso #WakeUp #ChicagoLoop #Adventure #Wanderlust",1523361831,73,0,LOOP,Central
BhY5Bx2ntzZ,"6am<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BE><ed><U+00B5><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
Body Shot Boxing Club 
600 w. Cermak 
Pilsen - Chicago 
www.bodyshotboxingclub.com 
Adult: $85 A MONTH for 56 classes 
Youth: $80 A MONTH for 30 classes
#rickramosboxing #bodyshotboxingclub #chicagoboxing #pilsenchicago #bridgeportchicago #chicago #chitown #windycity #halsted #uic #downtownchicago #chicagotrainer #chicagofitness #chicagogym #chicagosports #chicagoland #chicagojpg #chicagoshots #chicagokids #chicagogirl #chicagomom #chicagogirls #chicagolife #chicagogram #pilsenneighborhood #chicagoloop #chigram #halsted #bridgeportchicago #chicagoland #chicagokid #chicagojpg #chicagoshots #chicagosports #chicagogym #chicagogirl #chicagogirls",1523361192,20,0,LOOP,Central
BhY16o0ApTZ,"Still December?
.
.
.
. 
#insta_chicago #chiarchtecture #mychicagopix #chicity_shots #choosechicago #chicagoloop #abc7chicago <a0>#likechicago #ilovechi #artofchi #flippinchi #igerschicago #lifestylechicago #ig_chicagoland #chicago #unlimitedchicago #enjoychicago #enjoyillinois <a0>#instachicago #windycity #my_chicago #wonderlustchicago #igerschicago #chicagopics_usa #ig_chicago #intheloopchi #chicagoprimeshots #chicagocityworld #thechieye #chicagoshot",1523359509,51,0,LOOP,Central
BhYxXtZnrTs,Under the L,1523357126,20,1,LOOP,Central
BhYGFm7n2UO,"S A U C I N G 
#chicago #chicagoloop",1523334433,24,1,LOOP,Central
BhYCzjeAKtP,"Busy <ed><U+00A0><U+00BD><ed><U+00B0><U+009D> <ed><U+00A0><U+00BD><ed><U+00B0><U+009D> <ed><U+00A0><U+00BD><ed><U+00B0><U+009D> <ed><U+00A0><U+00BD><ed><U+00B0><U+009D>. Day Ninety Nine.
.
.
.
.
.
#agameoftones #streetshared #theimaged #heatercentral #thecreatorclass #artofvisuals #urbanandstreet #mobileimage #chicago #chitown #illinois #windycity #chicagoloop #chicity #igerschicago #chicagoshots #chicagogram #downtownchicago #a6500 #sony #sonyvisuals #sonyalpha",1523332712,114,2,LOOP,Central
BhYALc6nLRa,Un cl<e1>sico <ed><U+00A0><U+00BC><ed><U+00BE><U+00AD><ed><U+00A0><U+00BC><ed><U+00BC><U+0083><ed><U+00A0><U+00BC><ed><U+00BC><U+0086> #chicagotheatre #chicagobynight #chicagobyday #chitown #chicagoloop,1523331335,47,1,LOOP,Central
BhX-TfnlCjQ,"Strength vs elegance . . . . .

#chicagoinstagram #chicago #steel #masonry #architecture #chicagoloop #ChicagoHome #britannica #afternoons #concretejungle #springinchicago #spring #oldvsnew #historic #chicagoriver #ilovethiscity #whirlpool #chicagolandmark #landmarks #preservation",1523330353,34,0,LOOP,Central
BhX9gQ7g4RE,"Chicago<U+2764><U+2744><U+2744><U+2744> Titles for each pic were necessary:
1. The bean ain't rusty.
2. Playing with my imaginary dog.
3. I finally got to see it in person.
4. I knew it was a day bed before I knew it was a day bed.
5. Value increases when seen in person.
6. Van Gogh needs no filter, perfection. 
7. Freezing my balls for the pic.
8. Survivor.
9. Chicaguinsky through Arbolinsky Peloninsky. 
#chicago #snow #happy #blessed #actor #actorslife #city #loop #chicagoloop #thebean #life #happiness",1523329933,757,8,LOOP,Central
